,Strategy,Application,Module,Device,Instances,Delay,Network,EnergyConsumption,DeviceMaxCPU,DeviceCPUUsage,ModuleMIPS,ModuleRAM,TupleCpuLength,SEED,UplinkBandwidth,DownlinkBandwidth,UplinkLatency,TupleNwLength,DeviceLevel,Simulation,Rate,ModuleCpuLoad
2871,CB-E,DCNS,object_tracker,d-0,2,264.46,9922.05,9865.94,4000.0,3645.46,300,10,911.37,1835732737,10000.0,10000.0,50.0,100.0,1,6,0.5,455.685
38,ELSA,DCNS,object_detector,d-0,1,29.1,11122.7,4445.6,4000.0,1625.57,550,10,2167.42,1329531353,10000.0,10000.0,50.0,2000.0,1,1,0.5,1083.71
1633,Edgewards,VRGame,connector,d-1-0,5,0.0,1807.5,6512.82,2000.0,1197.96,100,10,1089.05,633816299,10000.0,10000.0,25.0,1000.0,1,5,0.01,10.8905
2749,CB-E,Translation_Service,processingModule,d-1-0,5,282.26,2316.0,10599.63,2000.0,1959.44,2500,10,3189.78,1835732737,10000.0,10000.0,25.0,500.0,1,5,0.1,318.97800000000007
46,ELSA,DCNS,object_tracker,d-0,1,27.17,11298.7,4222.09,4000.0,1542.27,300,10,1028.18,200496737,10000.0,10000.0,50.0,100.0,1,1,0.5,514.09
1325,Edgewards,VRGame,concentration_calculator,d-0,12,80.78,26542.75,6556.71,4000.0,2406.01,350,10,3189.78,1835732737,10000.0,10000.0,50.0,500.0,1,12,0.06,191.3868
4125,MGA,VRGame,connector,d-0,9,0.0,17762.0,5766.27,4000.0,2117.71,100,10,1069.55,428956419,10000.0,10000.0,50.0,1000.0,1,9,0.01,10.6955
1207,Edgewards,DCNS,user_interface,cloud,10,0.0,555911.5,59309.57,44800.0,15551.26,200,10,514.09,200496737,100.0,10000.0,0.0,2000.0,0,10,0.025,12.852250000000002
2823,CB-E,Translation_Service,storageModule,d-0,1,0.0,1942.5,1395.8,4000.0,489.06,1000,10,1086.79,1282538739,10000.0,10000.0,50.0,1000.0,1,5,0.1,108.679
1158,Edgewards,DCNS,user_interface,cloud,1,0.0,3404.95,1381.97,44800.0,13.58,200,10,543.4,1282538739,100.0,10000.0,0.0,2000.0,0,1,0.025,13.585
151,ELSA,Translation_Service,storageModule,cloud,2,0.0,24316.5,4937.55,44800.0,980.15,1000,10,1089.05,633816299,100.0,10000.0,0.0,1000.0,0,10,0.1,108.905
1570,Edgewards,VRGame,connector,d-1-0,4,0.0,1213.0,5000.98,2000.0,916.26,100,10,1041.21,1410143363,10000.0,10000.0,25.0,1000.0,1,4,0.01,10.4121
1659,Edgewards,Translation_Service,processingModule,d-0,6,97.42,17872.0,7869.64,4000.0,2887.79,2500,10,3743.43,428956419,10000.0,10000.0,50.0,500.0,1,6,0.1,374.343
3243,CB-E,Translation_Service,storageModule,d-1-0,4,0.0,2389.5,10435.17,2000.0,1928.79,1000,10,1071.55,1954324947,10000.0,10000.0,25.0,1000.0,1,9,0.1,107.155
1910,Edgewards,Translation_Service,storageModule,cloud,9,0.0,144909.25,15549.43,44800.0,4164.14,1000,10,1028.18,200496737,100.0,10000.0,0.0,1000.0,0,9,0.1,102.818
934,ELSA,DCNS,object_detector,d-0,3,162.71,84743.05,9865.94,4000.0,3645.46,550,10,1822.73,1835732737,10000.0,10000.0,50.0,2000.0,1,8,0.5,911.365
826,ELSA,DCNS,object_detector,d-0,2,222.94,72131.2,10147.62,4000.0,3750.43,550,10,2143.1,1954324947,10000.0,10000.0,50.0,2000.0,1,7,0.5,1071.55
711,ELSA,Translation_Service,processingModule,d-0,5,84.93,14868.75,6370.07,4000.0,2342.72,2500,10,3644.23,1410143363,10000.0,10000.0,50.0,500.0,1,5,0.1,364.423
3120,CB-E,DCNS,object_tracker,d-1-0,1,399.51,9035.65,8369.32,2000.0,1543.87,300,10,1029.25,1145661099,10000.0,10000.0,25.0,100.0,1,8,0.5,514.625
2916,CB-E,Translation_Service,storageModule,d-1-0,5,0.0,2301.0,10568.02,2000.0,1953.55,1000,10,1028.18,200496737,10000.0,10000.0,25.0,1000.0,1,6,0.1,102.818
589,ELSA,DCNS,user_interface,cloud,4,0.0,43135.65,11497.6,44800.0,2763.46,200,10,541.86,1329531353,100.0,10000.0,0.0,2000.0,0,4,0.025,13.546500000000002
198,ELSA,VRGame,connector,d-1-0,11,0.0,37542.75,5331.16,2000.0,977.79,100,10,1029.25,1145661099,10000.0,10000.0,25.0,1000.0,1,11,0.01,10.2925
3758,MGA,Translation_Service,processingModule,d-0,3,77.4,8337.0,4028.74,4000.0,1470.22,2500,10,3811.69,633816299,10000.0,10000.0,50.0,500.0,1,3,0.1,381.169
30,ELSA,DCNS,user_interface,cloud,1,0.0,12248.7,1374.34,44800.0,11.51,200,10,460.39,794161987,100.0,10000.0,0.0,2000.0,0,1,0.025,11.50975
1935,CB-E,DCNS,user_interface,cloud,1,0.0,3297.95,1381.18,44800.0,13.37,200,10,534.78,428956419,100.0,10000.0,0.0,2000.0,0,1,0.025,13.3695
1153,Edgewards,DCNS,object_tracker,d-1-0,1,2.69,2602.95,8465.61,2000.0,1561.81,300,10,1041.21,1410143363,10000.0,10000.0,25.0,100.0,1,1,0.5,520.605
3812,MGA,DCNS,object_tracker,cloud,4,177.3,222358.1,26263.17,44800.0,6556.45,300,10,1083.71,1329531353,100.0,10000.0,0.0,100.0,0,4,0.5,541.855
20,ELSA,Translation_Service,storageModule,d-0,1,0.0,2509.5,1326.32,4000.0,463.16,1000,10,1029.25,1145661099,10000.0,10000.0,50.0,1000.0,1,1,0.1,102.925
4131,MGA,VRGame,concentration_calculator,d-0,9,79.72,18929.75,5776.89,4000.0,2121.67,350,10,3750.43,1954324947,10000.0,10000.0,50.0,500.0,1,9,0.06,225.0258
4192,MGA,Translation_Service,storageModule,cloud,9,0.0,149830.5,16435.79,44800.0,4401.51,1000,10,1086.79,1282538739,100.0,10000.0,0.0,1000.0,0,9,0.1,108.679
1297,Edgewards,VRGame,connector,d-0,11,0.0,24089.75,7117.41,4000.0,2630.04,100,10,1086.79,1282538739,10000.0,10000.0,50.0,1000.0,1,11,0.01,10.8679
289,ELSA,DCNS,object_tracker,d-0,3,363.25,111422.45,10128.84,4000.0,3743.43,300,10,1069.55,428956419,10000.0,10000.0,50.0,100.0,1,12,0.5,534.775
3199,CB-E,Translation_Service,processingModule,d-0,4,712.13,2478.5,4833.33,4000.0,1770.06,2500,10,3644.23,1410143363,10000.0,10000.0,50.0,500.0,1,8,0.1,364.423
3676,MGA,VRGame,concentration_calculator,d-0,2,72.74,3520.0,1297.44,4000.0,452.4,350,10,3598.64,200496737,10000.0,10000.0,50.0,500.0,1,2,0.06,215.9184
2323,CB-E,Translation_Service,storageModule,d-0,7,0.0,2754.0,9750.3,4000.0,3602.37,1000,10,1029.25,1145661099,10000.0,10000.0,50.0,1000.0,1,12,0.1,102.925
1392,Edgewards,Translation_Service,processingModule,d-1-0,2,27.6,562.0,5054.96,2000.0,926.32,2500,10,3602.37,1145661099,10000.0,10000.0,25.0,500.0,1,2,0.1,360.237
2413,CB-E,VRGame,connector,d-1-0,12,0.0,4029.5,10582.4,2000.0,1956.23,100,10,1086.79,1282538739,10000.0,10000.0,25.0,1000.0,1,12,0.01,10.8679
1508,Edgewards,DCNS,user_interface,cloud,3,0.0,169377.2,20287.31,44800.0,4931.32,200,10,543.4,1282538739,100.0,10000.0,0.0,2000.0,0,3,0.025,13.585
2902,CB-E,Translation_Service,processingModule,d-1-0,4,540.87,2121.0,10552.64,2000.0,1950.68,2500,10,3792.99,1329531353,10000.0,10000.0,25.0,500.0,1,6,0.1,379.299
